
[2] Neutron Bomb
  33.33% | -9300 ms | vs [24] Silver Screen
  33.33% | 6500 ms | vs [29] Christmas Eve
  33.33% | 1500 ms | vs [54] Blue Jacket
  33.33% | 3400 ms | vs [59] Big Color
  33.05% | -5200 ms | vs [13] Saturday Night Special
  33.00% | -4600 ms | vs [2] Neutron Bomb
  30.77% | -8100 ms | vs [20] Hot Hot Hot
  30.00% | -3200 ms | vs [28] Courageous!
  27.27% | 1000 ms | vs [23] City Crasher
  23.81% | -9100 ms | vs [15] Super Crackle Rainbow
  22.22% | -8800 ms | vs [48] Howling Nishiki
  22.22% | -8900 ms | vs [53] MOAB 9S
  18.92% | -1100 ms | vs [47] Azurallure
  18.18% | -6700 ms | vs [18] Hit the Road, Jack
  18.18% | -8400 ms | vs [31] Naughty or Nice
  16.67% | -8100 ms | vs [32] Evil Priest
  16.30% | 9800 ms | vs [17] Deep Ocean
  13.16% | -7900 ms | vs [19] High Falutin
  10.00% | -7600 ms | vs [11] Fiesta 99
  5.68% | 3200 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[21] Peace Out
  46.03% | 3100 ms | vs [3] Occupy Mars
  45.66% | -300 ms | vs [30] Breakthrough
  44.92% | -2600 ms | vs [20] Hot Hot Hot
  43.08% | -700 ms | vs [26] Color Storm
  40.78% | 5100 ms | vs [12] Ion Blaster
  40.00% | -2100 ms | vs [22] Colorful Whirlwind
  38.69% | -10000 ms | vs [2] Neutron Bomb
  38.46% | -1900 ms | vs [1] Turn it Loose
  38.46% | 2800 ms | vs [28] Courageous!
  38.46% | -700 ms | vs [46] Azura Burst
  38.46% | 2300 ms | vs [56] Thirsty Thursday
  38.46% | -1000 ms | vs [57] Colorful Skies
  37.93% | 1100 ms | vs [59] Big Color
  37.80% | 3400 ms | vs [52] Flourescent
  37.58% | -4200 ms | vs [16] Strobing Willow
  36.08% | 1200 ms | vs [54] Blue Jacket
  33.33% | -8600 ms | vs [13] Saturday Night Special
  33.33% | 1600 ms | vs [15] Super Crackle Rainbow
  32.60% | -300 ms | vs [58] Wild Horses
  31.44% | 2300 ms | vs [23] City Crasher
  30.77% | 3700 ms | vs [14] Star Chaser
  30.77% | -9800 ms | vs [24] Silver Screen
  30.77% | -9400 ms | vs [48] Howling Nishiki
  30.77% | -4700 ms | vs [53] MOAB 9S
  29.40% | 5700 ms | vs [29] Christmas Eve
  27.23% | -1500 ms | vs [18] Hit the Road, Jack
  23.89% | -1800 ms | vs [17] Deep Ocean
  23.23% | -6700 ms | vs [47] Azurallure
  18.42% | -5200 ms | vs [19] High Falutin
  15.38% | -7300 ms | vs [31] Naughty or Nice
  15.38% | -9000 ms | vs [32] Evil Priest
  13.33% | -500 ms | vs [11] Fiesta 99
  7.69% | -9000 ms | vs [49] No Way!
  6.57% | -4200 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All

[54] Blue Jacket
  45.45% | 1800 ms | vs [46] Azura Burst
  44.44% | -1100 ms | vs [30] Breakthrough
  37.50% | -3100 ms | vs [29] Christmas Eve
  37.50% | 2900 ms | vs [48] Howling Nishiki
  37.50% | -1900 ms | vs [57] Colorful Skies
  36.08% | -1200 ms | vs [21] Peace Out
  33.33% | -1500 ms | vs [3] Occupy Mars
  33.33% | -2200 ms | vs [52] Flourescent
  33.31% | -1000 ms | vs [14] Star Chaser
  31.28% | 2900 ms | vs [59] Big Color
  30.00% | -2100 ms | vs [16] Strobing Willow
